isin,tenor,issue_date,maturity_date,coupon_rate_pct,face_value_million_pkr
PK02Z2009261,02-Year,2024-09-20,2026-09-20,0,284473.5
PK02Z1601274,02-Year,2025-01-16,2027-01-16,0,495301
PK02Z1707279,02-Year,2025-07-17,2027-07-17,0,308795
PK02Z1501284,02-Year,2026-01-15,2028-01-15,0,234861.9
PK03P0407268,03-Year,2023-07-04,2026-07-04,12,781986.6
PK03P1502273,03-Year,2024-02-15,2027-02-15,14,435893.8
PK03P2009278,03-Year,2024-09-20,2027-09-20,14,115663.3
PK03P1601281,03-Year,2025-01-16,2028-01-16,12,248710.8
PK03P1707286,03-Year,2025-07-17,2028-07-17,10.5,339787.9
PK03P1501291,03-Year,2026-01-15,2029-01-15,10.25,392405.8
PK03P1905294,03-Year,2026-05-19,2029-05-19,12,182020.2
PK05P2904275,05-Year,2022-04-29,2027-04-29,7.5,785162.2
PK05P1310276,05-Year,2022-10-13,2027-10-13,10.5,252298.3
PK05P1701292,05-Year,2024-01-17,2029-01-17,14,191277.1
PK05P2009299,05-Year,2024-09-20,2029-09-20,14,442728.2
PK05P1601302,05-Year,2025-01-16,2030-01-16,12,666114.1
PK05P1707307,05-Year,2025-07-17,2030-07-17,11,626955.9
PK05P1501312,05-Year,2026-01-15,2031-01-15,10.5,384475
PK05P1905315,05-Year,2026-05-19,2031-05-19,12.25,387085.2
PK10P2912260,10-Year,2016-12-29,2026-12-29,8.75,57067.8
PK10P1207282,10-Year,2018-07-12,2028-07-12,8.75,312547
PK10P1909291,10-Year,2019-09-19,2029-09-19,10,303444.7
PK10P1012302,10-Year,2020-12-10,2030-12-10,8,697252.2
PK10P3011328,10-Year,2022-11-30,2032-11-30,11,1559.9
PK10P1011338,10-Year,2023-11-10,2033-11-10,14,209486.6
PK10P2009349,10-Year,2024-09-20,2034-09-20,13,217009.6
PK10P1601351,10-Year,2025-01-16,2035-01-16,12,498197.6
PK10P1707356,10-Year,2025-07-17,2035-07-17,11.5,1023047.8
PK10P1501361,10-Year,2026-01-15,2036-01-15,11,204575
PK10P1905364,10-Year,2026-05-19,2036-05-19,12.5,179436.6
PK15P1808260,15-Year,2011-08-18,2026-08-18,12.5,2261.3
PK15P1604354,15-Year,2020-04-16,2035-04-16,10.5,139800
PK15Z1906402,15-Year,2025-06-19,2040-06-19,0,1369304.1
PK15Z1501419,15-Year,2026-01-15,2041-01-15,0,899000
PK20P3110269,20-Year,2006-10-31,2026-10-31,10.5,20300
PK20P3008281,20-Year,2008-08-30,2028-08-30,13,4300
PK20P1808310,20-Year,2011-08-18,2031-08-18,13,37199.7
PK20P1909399,20-Year,2019-09-19,2039-09-19,11,68173.8
PK30P2212362,30-Year,2006-12-22,2036-12-22,11,32200
PK30P3008389,30-Year,2008-08-30,2038-08-30,13.75,8600
